"CODE MR241705 : Red pure cotton unstitched salwar material, original bandhani work all over (lining needed)matching original bandhini pure cotton bottom,bandhani dupatta with cut work edges",Description of product,Sold By: M/S NEIDHAL,Salwar Materials,,"FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

","₹1,099"
"CODE AP240801 : Designer light grey pure organza unstitched salwar material, rich work on yoke, zari buttas on front(thin, lining needed)matching santoon bottom, dual shaded pure organza dupatta with zari woven border","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Light Grey,Free Size,"₹1,899"
"CODE AP240803 : Pastel peach linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,"linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings",Pastel peach,2 item left in Stock,"₹1,249"
"CODE AP240805 : Pastel blue linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings. ₹1,249","An online shopping website for women's ethnic wear. Offers free shipping all over India. Features a variety of salwar materials, dupattas, and super saver combos. Provides information on measurements, washing instructions, shipping, and delivery timelines. Allows users to sign up, login, and buy products using various payment options such as credit card, debit card, net banking, Paytm, and wallets. Also provides the option to buy on WhatsApp and have a query via WhatsApp. Sold by M/S NEIDHAL. Current product in focus: CODE AP240805 : Pastel blue linen cotton unstitched salwar material ,thread & sequins work on yoke, floral printed all over(thin,lining needed)matching lining provided , NO BOTTOM, fancy organza dupatta with lace tapings. ₹1,249. Inclusive of all taxes. FREE Shipping within India. 2 items left in stock. Buy now or buy on WhatsApp. Have a Query? Click here to WhatsApp",M/S NEIDHAL,website,Pastel blue,2 items left in stock,"₹1,249"
"CODE AP240806 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,Salwar Materials,Black,2 item left in Stock,"₹1,299"
"CODE AP240807 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,Black,Free Size,"₹1,299"
"CODE AP240808 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,Salwar Materials,Black,1 item left in Stock,"₹1,299"
"CODE AP240809 : Black hakoba semi spun cotton unstitched salwar material,kalamkari printed on yoke,cut work & thread detailing on front(lining needed)kalamkari printed cotton bottom, kalamkari printed pure cotton dupatta","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT",M/S NEIDHAL,Salwar Materials,,,"₹1,299"
"CODE AP240811 :Light beige with golden tint tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders. ₹1,379","Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,Salwar Materials,Light Beige with Golden Tint,Multiple Sizes,"₹1,379"
"CODE AP240812 :Light green with golden tint tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders. - Neidhal","FABRIC MEASUREMENT

Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS

1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING

Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,"tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders.",Light green with golden tint,1 item left in Stock,"₹1,379"
"CODE AP240813 : Pastel pink with golden tint tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders","FABRIC MEASUREMENT
Measurement of fabric will not be same and it varies with Design/Cloth type/ Concept/ Manufacturer. Usually top measurement will start from 1.9 metres onwards, bottoms usually will be around 2 metres, Dupatta length will start from 2.2 metres. Ideally should fit up to XL size. If you have measurement constraint, please check with us through whatsapp(7401184012) prior booking.

WASHING INSTRUCTIONS
1. Dry wash atleast for first wash.
2. Prewash Handloom fabrics before stitching.
3. Mild separate hand wash( no brushing or machine wash) for initial few washes.
4. Pure cotton will bleed color and will stop after few washes. Hence wash them separately.
5. Block prints will have variation in color, print and even might have stains. These cannot be mistaken as damage.
6. No guarantee for colors, cloth, zari, embroidery.

SHIPPING
Once the payment is done, we mostly ship the suit on the next working day. It will take 3-7 working days for the suit to reach, once shipped. During festival season, please expect delays as courier companies operate with minimum capacity.

IF YOU ARE EXPECTING THE SUITS TO ARRIVE EARLY, PLEASE CHECK WITH US FOR OPTIONS, EVEN BEFORE MAKING PAYMENT.
",M/S NEIDHAL,"tissue silk cotton unstitched salwar material, thread detail on yoke(thin, lining needed)matching silky bottom, floral printed tissue silk cotton with gold tissue borders",Pastel pink with golden tint,Ideally should fit up to XL size,"₹ 1,379"
